"",".y.","group1","group2","p","p.adj","p.format","p.signif","method"
"1","Shannon","M01","M02",0.46852895984731,0.47,"0.47","ns","T-test"
"2","Shannon","M02","M03",0.423419031146799,0.42,"0.42","ns","T-test"
"3","Shannon","M03","M04",0.598133300876309,0.6,"0.6","ns","T-test"
"4","Shannon","M04","M05",0.151819578332888,0.15,"0.15","ns","T-test"
"5","Shannon","M05","M06",0.0223864449603939,0.022,"0.022","*","T-test"
"6","Shannon","M06","M07",0.159857562685719,0.16,"0.16","ns","T-test"
"7","Shannon","M07","M08",0.275868610227351,0.28,"0.28","ns","T-test"
"8","Shannon","M08","M09",0.819332976691593,0.82,"0.82","ns","T-test"
"9","Shannon","M09","M10",0.126091092215763,0.13,"0.13","ns","T-test"
"10","Shannon","M10","M11",0.7826120325079,0.78,"0.78","ns","T-test"
"11","Shannon","M11","M12",0.660795099119789,0.66,"0.66","ns","T-test"
