tp,Haemophilus,Veillonella,Gemella,Granulicatella,Streptococcus,Fusobacterium,Actinomyces,Porphyromonas,Rothia,Neisseria
M01,108,0,6,108,74,,,,174,6
M02,42,66,128,130,0,52,152,48,146,146
M03,158,144,110,60,238,34,92,18,2,98
M04,390,46,34,24,126,4,74,0,58,38
M05,220,104,202,418,34,84,60,66,54,42
M06,528,74,596,56,88,208,48,100,214,100
M07,274,398,30,24,398,82,76,134,0,110
M08,160,62,188,62,364,160,264,156,0,114
M09,112,254,158,378,382,20,124,120,222,58
M10,138,112,242,214,60,152,30,84,56,0
M11,0,538,204,168,2,120,124,178,6,94
M12,434,246,122,332,204,354,170,272,200,236
