tp,Veillonella,Streptococcus,Enterococcus,Bacteroides,[Ruminococcus]_gnavus_group,Haemophilus,Bifidobacterium,Blautia,Sellimonas,Escherichia-Shigella
M01,212,140,82,990,,318,76,656,308,476
M02,8,154,122,8,92,34,144,,,30
M03,112,0,42,0,112,36,180,28,,72
M04,16,146,84,12,88,58,116,,,128
M05,364,48,278,216,168,198,20,,148,404
M06,956,1140,370,290,538,472,450,,250,140
M07,546,64,210,282,264,220,240,22,450,158
M08,52,10,214,16,502,0,230,860,224,4
M09,376,568,82,140,190,228,152,320,520,14
M10,158,198,1096,228,62,238,204,0,74,538
M11,590,114,0,140,258,382,348,272,114,106
M12,180,106,0,990,,,,656,308,436
